JD,Magnitude,Band
2457052.2194,11.4,Vis.
2457053,11.3,Vis.
2457053.9,11.4,Vis.
2457054.2,10.8,Vis.
2457058.2611,11,Vis.
2457060.3,11.15,Vis.
2457061.21,11.3,Vis.
2457061.2264,11.3,Vis.
2457062.2361,11.2,Vis.
2457063.01806,10.8,Vis.
2457064.9,10.5,Vis.
2457066.2562,11,Vis.
2457066.6951,11.1,Vis.
2457067.7285,10.4,Vis.
2457068.69,10.5,Vis.
2457068.7069,10.9,Vis.
2457069,10.5,Vis.
2457069.6028,10.8,Vis.
2457070.6438,10.7,Vis.
2457070.6549,10.5,Vis.
2457071.2785,10.2,Vis.
2457072.01111,10,Vis.
2457073.6285,10.5,Vis.
2457074,9.7,Vis.
2457074.5868,10.4,Vis.
2457075.6528,10.5,Vis.
2457075.72,9.1,Vis.
2457076.6486,10.4,Vis.
2457078.6875,10.2,Vis.
2457079.441,9.7,Vis.
2457080.4986,9.5,Vis.
2457080.72,8.8,Vis.
2457081,9.7,Vis.
2457083.67,8.8,Vis.
2457084.6771,9.5,Vis.
2457086.72,8.8,Vis.
2457086.9,8.7,Vis.
2457091.63,7.9,Vis.
2457096.9,8,Vis.
2457098.6028,7.5,Vis.
2457098.6229,8,Vis.
2457099.59,7.3,Vis.
2457099.5993,7.7,Vis.
2457099.616,8,Vis.
2457099.8,7.7,Vis.
2457100.4333,7.8,Vis.
2457102.67,7.5,Vis.
2457104.6535,7.6,Vis.
2457104.97431,7.5,Vis.
2457106.6292,7.5,Vis.
2457106.7,6.8,Vis.
2457109.9,7.2,Vis.
2457110.625,7.01,Vis.
2457110.8,7,Vis.
2457110.9,6.9,Vis.
2457111.55,7.4,Vis.
2457111.6188,7.1,Vis.
2457113.64,7.4,Vis.
2457117.6181,6.7,Vis.
2457118.58,6.8,Vis.
2457119.5757,7.6,Vis.
2457122.3,6.7,Vis.
2457122.639,7.7,Vis.
2457122.64,7,Vis.
2457124.5757,7.6,Vis.
2457124.9,6.9,Vis.
2457124.9,6.9,Vis.
2457125.5694,6.8,Vis.
2457127.6,7.3,Vis.
2457128.3944,7.6,Vis.
2457130.4396,7.6,Vis.
2457130.616,7.3,Vis.
2457131.48,7.5,Vis.
2457131.94583,6.3,Vis.
2457132.3,6.6,Vis.
2457132.5847,7.6,Vis.
2457132.618,7.7,Vis.
2457133.3813,7.6,Vis.
2457133.5,7.3,Vis.
2457133.5507,6.9,Vis.
2457134.348,6.8,Vis.
2457134.459,7.6,Vis.
2457134.48,6.9,Vis.
2457135.34722,6.9,Vis.
2457135.34931,6.6,Vis.
2457135.37,6.8,Vis.
2457135.6153,7.3,Vis.
2457135.8,6.9,Vis.
2457136.4417,7.6,Vis.
2457136.9,6.9,Vis.
2457137.3528,7.6,Vis.
2457138.48681,6.8,Vis.
2457139.4063,7.5,Vis.
2457139.4542,7.8,Vis.
2457139.521,7.6,Vis.
2457139.55,7.5,Vis.
2457140.5833,7.2,Vis.
2457140.6174,7.3,Vis.
2457141.4694,7.2,Vis.
2457141.93403,7.1,Vis.
2457142.5632,7.6,Vis.
2457142.62,6.8,Vis.
2457144.48264,7.4,Vis.
2457145.3903,7.6,Vis.
2457147.3903,7.6,Vis.
2457148.8,7.1,Vis.
2457149.4083,7.6,Vis.
2457149.5833,7.2,Vis.
2457150.39,7.7,Vis.
2457150.4,7.4,Vis.
2457150.47083,7.2,Vis.
2457151.4014,7.6,Vis.
2457152.55,7.8,Vis.
2457153.37361,7.5,Vis.
2457153.38333,7.5,Vis.
2457153.4215,7.7,Vis.
2457154.3972,7.7,Vis.
2457155.4,7.6,Vis.
2457155.5382,7.7,Vis.
2457155.7,7.4,Vis.
2457156.45,7.4,Vis.
2457156.465,8,Vis.
2457157.416,8,Vis.
2457158.4049,8.1,Vis.
2457158.4708,8.4,Vis.
2457159.3,8,Vis.
2457159.36,8,Vis.
2457159.39,7.8,Vis.
2457159.4,8,Vis.
2457159.51,8.5,Vis.
2457159.52,8,Vis.
2457159.5486,7.62,Vis.
2457159.7,7.8,Vis.
2457161.2,8,Vis.
2457161.3757,8,Vis.
2457161.47778,7.7,Vis.
2457162.80263,7.9,Vis.
2457163.4097,7.8,Vis.
2457163.5,7.8,Vis.
2457164.4444,8.3,Vis.
2457165.33681,8.3,Vis.
2457165.9,8.1,Vis.
2457165.9625,8.4,Vis.
2457166.43264,8.4,Vis.
2457166.45833,8.2,Vis.
2457166.69514,8.3,Vis.
2457169.4,7.8,Vis.
2457169.566,8.5,Vis.
2457169.6,8.1,Vis.
2457170.4354,8.7,Vis.
2457170.95486,8.5,Vis.
2457171.4,8.8,Vis.
2457171.566,8.6,Vis.
2457171.631,8.7,Vis.
2457172.3,8.4,Vis.
2457172.36,8.2,Vis.
2457172.4,8.3,Vis.
2457173.441,8.7,Vis.
2457173.49028,8.6,Vis.
2457174.425,8.7,Vis.
2457176.5667,8.9,Vis.
2457177.30069,8.6,Vis.
2457177.42,8.8,Vis.
2457178.4,9,Vis.
2457178.425,8.9,Vis.
2457178.43889,8.8,Vis.
2457178.4403,9.1,Vis.
2457178.5694,9.1,Vis.
2457179.39,8.7,Vis.
2457179.4,8.9,Vis.
2457179.4028,9.1,Vis.
2457179.486,8.7,Vis.
2457180.4632,9.5,Vis.
2457180.5,8.9,Vis.
2457180.7,9,Vis.
2457180.7,9.3,Vis.
2457181.4313,9.3,Vis.
2457183.4382,9.4,Vis.
2457183.4479,9.5,Vis.
2457184.366,9.6,Vis.
2457184.42,8.9,Vis.
2457185.4,8.9,Vis.
2457185.5299,9.6,Vis.
2457186.3,9.7,Vis.
2457186.3,9.1,Vis.
2457186.39,8.9,Vis.
2457186.5007,9.7,Vis.
2457187.4,9.4,Vis.
2457187.4,9.3,Vis.
2457187.42,8.9,Vis.
2457187.4396,9.8,Vis.
2457188.4208,10.1,Vis.
2457189.4292,10.2,Vis.
2457190.4382,10.2,Vis.
2457190.466,10.1,Vis.
2457190.6,9.5,Vis.
2457191.42,9.8,Vis.
2457192.5,10.1,Vis.
2457192.8,10.2,Vis.
2457193.33681,9.5,Vis.
2457193.3924,10.5,Vis.
2457193.71319,9.8,Vis.
2457194.43,9.8,Vis.
2457195.4,9.7,Vis.
2457195.4785,10.2,Vis.
2457196.2,9.5,Vis.
2457198.661,10.7,Vis.
2457198.68958,10.2,Vis.
2457200.3,11,Vis.
2457200.4,10.5,Vis.
2457201.29861,10.4,Vis.
2457201.4167,10.7,Vis.
2457201.4653,10.7,Vis.
2457201.9,10.8,Vis.
2457203.4,10,Vis.
2457203.42,10.6,Vis.
2457204.4694,11,Vis.
2457205.30139,10.5,Vis.
2457206.4,11.7,Vis.
2457206.466,11.1,Vis.
2457206.4708,10.7,Vis.
2457207.4514,10.8,Vis.
2457209.38,11.1,Vis.
2457210.3,11.6,Vis.
2457210.4438,11.4,Vis.
2457211.4653,10.9,Vis.
2457212.37,11.1,Vis.
2457213.38,11.6,Vis.
2457213.4,10.9,Vis.
2457213.67986,11.5,Vis.
2457214.33,11.5,Vis.
2457214.4,11.6,Vis.
2457214.4069,11.1,Vis.
2457214.434,11.5,Vis.
2457214.636,11.5,Vis.
2457214.7,11.7,Vis.
2457214.8,11.7,Vis.
2457215.4771,11.6,Vis.
2457215.71458,11.7,Vis.
2457216.4,11.7,Vis.
2457218.4,11.7,Vis.
2457219.628,11.5,Vis.
2457219.65347,11.9,Vis.
2457220.34306,11,Vis.
2457220.4,11.7,Vis.
2457220.4118,11.6,Vis.
2457221.3896,11.9,Vis.
2457221.7,12,Vis.
2457223.4222,10.9,Vis.
2457223.5313,12.2,Vis.
2457224.4,11.9,Vis.
2457225.32986,11.7,Vis.
2457225.6,12.1,Vis.
2457225.8,12.3,Vis.
2457226.3,12,Vis.
2457226.4,11.8,Vis.
2457226.49,12.3,Vis.
2457228.56806,11.7,Vis.
2457228.65278,12.1,Vis.
2457229.575,11.9,Vis.
2457230.4549,11.9,Vis.
2457230.8243,12.1,Vis.
2457231.4333,12.4,Vis.
2457235.4736,11.8,Vis.
2457235.7868,12.1,Vis.
2457236.64236,12.3,Vis.
2457238.4028,12.3,Vis.
2457238.44583,12.4,Vis.
2457239.7882,12.2,Vis.
2457240.3,11.9,Vis.
2457240.3743,12,Vis.
2457240.3903,13.9,Vis.
2457240.4806,12.3,Vis.
2457240.6,12.3,Vis.
2457241.31,12.3,Vis.
2457241.3722,12.3,Vis.
2457241.4,11.7,Vis.
2457241.4,11.5,Vis.
2457241.4396,11.1,Vis.
2457241.64931,12.5,Vis.
2457242.3,12.1,Vis.
2457242.7139,12.6,Vis.
2457244.3924,12.4,Vis.
2457244.75278,12,Vis.
2457246.3,12.3,Vis.
2457246.48889,12,Vis.
2457246.65694,12.2,Vis.
2457246.7,12.4,Vis.
2457246.7444,12,Vis.
2457248.45,12.2,Vis.
2457249.4174,11.9,Vis.
2457251.6,12,Vis.
2457253.27431,11.6,Vis.
2457253.42917,11.4,Vis.
2457253.43681,11.7,Vis.
2457254.49,11.4,Vis.
2457255.4069,11.8,Vis.
2457256.643,11.4,Vis.
2457257.4264,11.7,Vis.
2457257.4375,11.8,Vis.
2457257.92153,10.7,Vis.
2457258.3,11.6,Vis.
2457258.3,11.9,Vis.
2457258.4167,11.5,Vis.
2457258.68264,11.1,Vis.
