JD,Magnitude,Band
2457140.5833,7.2,Vis.
2457141.4694,7.2,Vis.
2457149.5833,7.2,Vis.
2457150.47083,7.2,Vis.
2457347.17153,7.2,Vis.
2457493.8722,7.2,Vis.
2457513.355,7.2,Vis.
2457513.8736,7.2,Vis.
2457514.385,7.2,Vis.
2457516.378,7.2,Vis.
2457516.38,7.2,Vis.
2457516.6,7.2,Vis.
2457518.389,7.2,Vis.
2457523.59,7.2,Vis.
2457674.594,7.2,Vis.
2457676.21875,7.2,Vis.
2457682.5,7.2,Vis.
2457691.35,7.2,Vis.
2457693.32222,7.2,Vis.
2457694.4,7.2,Vis.
2457699.5,7.2,Vis.
2457701.3681,7.2,Vis.
2457707.3785,7.2,Vis.
2457710.5,7.2,Vis.
2457714.25,7.2,Vis.
2457714.28,7.2,Vis.
2457714.3,7.2,Vis.
2457715.2056,7.2,Vis.
2457717.27222,7.2,Vis.
2457725.36,7.2,Vis.
2458064.29167,7.2,Vis.
2458066.2569,7.2,Vis.
2458069.4035,7.2,Vis.
2458071.2639,7.2,Vis.
2458077.2722,7.2,Vis.
2458080.3042,7.2,Vis.
2458080.32222,7.2,Vis.
2458083.5514,7.2,Vis.
2458088.7111,7.2,Vis.
2458104.2,7.2,Vis.
2458105.3,7.2,Vis.
2458106.21944,7.2,Vis.
2458106.3264,7.2,Vis.
2458451.17778,7.2,Vis.
2458461.28,7.2,Vis.
2458462.21389,7.2,Vis.
2458467.33472,7.2,Vis.
2458479.4,7.2,Vis.
2458482.2903,7.2,Vis.
2458828.3,7.2,Vis.
2458828.3125,7.2,Vis.
2458832.4118,7.2,Vis.
2458836.6875,7.2,Vis.
2458839.3292,7.2,Vis.
2458846.6215,7.2,Vis.
2458850.6792,7.2,Vis.
2458853.2792,7.2,Vis.
2458855.3188,7.2,Vis.
2458856.3271,7.2,Vis.
2458865.6354,7.2,Vis.
2458866.6944,7.2,Vis.
2458868.1819,7.2,Vis.
2458869.3,7.2,Vis.
2458870.72917,7.2,Vis.
2458871.72,7.2,Vis.
2457325.403,7.22,Vis.
2458456.4264,7.23,Vis.
2458467.4028,7.24,Vis.
2455792.3443,7.25,Vis.
2455792.39722,7.25,Vis.
2456181.2929,7.25,Vis.
2456962.383,7.26,Vis.
2457695.442,7.26,Vis.
2456936.363,7.28,Vis.
2457336.343,7.28,Vis.
2455199.23,7.3,Vis.
2455244.66458,7.3,Vis.
2455249.36,7.3,Vis.
2455401.43333,7.3,Vis.
2455408.4,7.3,Vis.
2455414.16319,7.3,Vis.
2455418.5007,7.3,Vis.
2455423.6,7.3,Vis.
2455429.34444,7.3,Vis.
2455430.37778,7.3,Vis.
2455436.30972,7.3,Vis.
2455441.37917,7.3,Vis.
2455444.37778,7.3,Vis.
2455445.325,7.3,Vis.
2455612.9563,7.3,Vis.
2455620,7.3,Vis.
2455622,7.3,Vis.
2455631.708,7.3,Vis.
2455631.9,7.3,Vis.
2455777.5,7.3,Vis.
2455782.41458,7.3,Vis.
2455782.643,7.3,Vis.
2455784.31944,7.3,Vis.
2455785.4,7.3,Vis.
2455790.466,7.3,Vis.
2455791.4,7.3,Vis.
2455791.6,7.3,Vis.
2455793.308,7.3,Vis.
2455793.491,7.3,Vis.
2455794.3,7.3,Vis.
2455794.3444,7.3,Vis.
2455794.4028,7.3,Vis.
2455794.47917,7.3,Vis.
2455795.5153,7.3,Vis.
2455796.3597,7.3,Vis.
2455797.8,7.3,Vis.
2455798.56944,7.3,Vis.
2455799.3917,7.3,Vis.
2455799.41,7.3,Vis.
2455800.4667,7.3,Vis.
2455800.5,7.3,Vis.
2455800.6,7.3,Vis.
2455801.3486,7.3,Vis.
2455801.6,7.3,Vis.
2455802.3396,7.3,Vis.
2455803.5,7.3,Vis.
2455805.55764,7.3,Vis.
2455806.375,7.3,Vis.
2455807.3292,7.3,Vis.
2455808.31,7.3,Vis.
2455809.30903,7.3,Vis.
2455813.6,7.3,Vis.
2455814.7,7.3,Vis.
2455816.4,7.3,Vis.
2455818.3,7.3,Vis.
2455819.3938,7.3,Vis.
2455820.3333,7.3,Vis.
2455820.3965,7.3,Vis.
2455820.6,7.3,Vis.
2455822.6333,7.3,Vis.
2455825.625,7.3,Vis.
2455826.3,7.3,Vis.
2455826.42,7.3,Vis.
2455992.9,7.3,Vis.
2455996.9,7.3,Vis.
2456002.6292,7.3,Vis.
2456003.6052,7.3,Vis.
2456003.6292,7.3,Vis.
2456005.62,7.3,Vis.
2456007.6389,7.3,Vis.
2456009.5938,7.3,Vis.
2456009.6299,7.3,Vis.
2456014.6,7.3,Vis.
2456163.31111,7.3,Vis.
2456163.4162,7.3,Vis.
2456163.42222,7.3,Vis.
2456170.3,7.3,Vis.
2456171.3674,7.3,Vis.
2456172.6,7.3,Vis.
2456174.4,7.3,Vis.
2456174.6,7.3,Vis.
2456175.32639,7.3,Vis.
2456177.58333,7.3,Vis.
2456187.4674,7.3,Vis.
2456188.2936,7.3,Vis.
2456189.3278,7.3,Vis.
2456192.3,7.3,Vis.
2456193.3542,7.3,Vis.
2456193.6924,7.3,Vis.
2456197.5799,7.3,Vis.
2456199.3146,7.3,Vis.
2456209.4486,7.3,Vis.
2456212.24792,7.3,Vis.
2456355.66,7.3,Vis.
2456355.6931,7.3,Vis.
2456356.9069,7.3,Vis.
2456359.9,7.3,Vis.
2456386.8993,7.3,Vis.
2456532.6278,7.3,Vis.
2456535.76752,7.3,Vis.
2456538.409,7.3,Vis.
2456539.3,7.3,Vis.
2456539.35,7.3,Vis.
2456540.4,7.3,Vis.
2456542.3361,7.3,Vis.
2456548.75117,7.3,Vis.
2456570.4376,7.3,Vis.
2456575.4736,7.3,Vis.
2456579.38056,7.3,Vis.
2456583.23,7.3,Vis.
2456583.36,7.3,Vis.
2456583.4,7.3,Vis.
2456583.70833,7.3,Vis.
2456585.23125,7.3,Vis.
2456919.3,7.3,Vis.
2456924.356,7.3,Vis.
2456927.5,7.3,Vis.
2456933.31667,7.3,Vis.
2456936.2715,7.3,Vis.
2456938.28,7.3,Vis.
2456939.38056,7.3,Vis.
2456940.2812,7.3,Vis.
2456941.3,7.3,Vis.
2456941.31,7.3,Vis.
2456942.5,7.3,Vis.
2456949.3771,7.3,Vis.
2456950.19722,7.3,Vis.
2456950.23403,7.3,Vis.
2456950.3042,7.3,Vis.
2456951.28125,7.3,Vis.
2456952.4,7.3,Vis.
2456960.6007,7.3,Vis.
2457099.59,7.3,Vis.
2457127.6,7.3,Vis.
2457130.616,7.3,Vis.
2457133.5,7.3,Vis.
2457135.6153,7.3,Vis.
2457140.6174,7.3,Vis.
2457325.5,7.3,Vis.
2457326.35,7.3,Vis.
2457494.56,7.3,Vis.
2457495.9014,7.3,Vis.
2457497.4028,7.3,Vis.
2457499.3847,7.3,Vis.
2457501.92778,7.3,Vis.
2457506.8,7.3,Vis.
2457508.4153,7.3,Vis.
2457509.5,7.3,Vis.
2457511.339,7.3,Vis.
2457515.359,7.3,Vis.
2457515.4097,7.3,Vis.
2457518.384,7.3,Vis.
2457677.58403,7.3,Vis.
2457678.36875,7.3,Vis.
2457680.6,7.3,Vis.
2457683.3,7.3,Vis.
2457683.59583,7.3,Vis.
2457684.32986,7.3,Vis.
2457690.22,7.3,Vis.
2457692.2083,7.3,Vis.
2457692.4,7.3,Vis.
2457693.3,7.3,Vis.
2457693.538,7.3,Vis.
2457699.191,7.3,Vis.
2457704.327,7.3,Vis.
2457706.3125,7.3,Vis.
2457712.4,7.3,Vis.
2457715.416,7.3,Vis.
2457719.3,7.3,Vis.
2457721.2451,7.3,Vis.
2457721.357,7.3,Vis.
2457722.23,7.3,Vis.
2457726.3382,7.3,Vis.
2457726.4,7.3,Vis.
2457731.2764,7.3,Vis.
2458057.3551,7.3,Vis.
2458068.5,7.3,Vis.
2458075.25,7.3,Vis.
2458076.61806,7.3,Vis.
2458085.2,7.3,Vis.
2458095.22,7.3,Vis.
2458462.325,7.3,Vis.
2458465.22917,7.3,Vis.
2458465.2931,7.3,Vis.
2458469.5,7.3,Vis.
2458481.22014,7.3,Vis.
2458484.3,7.3,Vis.
2458660.475,7.3,Vis.
2458668.28542,7.3,Vis.
2458822.25694,7.3,Vis.
2458823.3875,7.3,Vis.
2458824.5,7.3,Vis.
2458827.253,7.3,Vis.
2458838.24,7.3,Vis.
2458869.7083,7.3,Vis.
2458872.23,7.3,Vis.
2458872.2958,7.3,Vis.
2458873.2306,7.3,Vis.
2455795.3356,7.33,Vis.
2455778.3707,7.35,Vis.
2455798.3647,7.35,Vis.
2456191.3733,7.35,Vis.
2458475.2681,7.36,Vis.
2455227.76,7.4,Vis.
2455249.66319,7.4,Vis.
2455265.59722,7.4,Vis.
2455418.396,7.4,Vis.
2455422.7174,7.4,Vis.
2455423.14236,7.4,Vis.
2455425.47,7.4,Vis.
2455446.33333,7.4,Vis.
2455603,7.4,Vis.
2455606.729,7.4,Vis.
2455624.6674,7.4,Vis.
2455627.6278,7.4,Vis.
2455628.6215,7.4,Vis.
2455629.6292,7.4,Vis.
2455632.5896,7.4,Vis.
2455642.5451,7.4,Vis.
2455643.5944,7.4,Vis.
2455781.475,7.4,Vis.
2455784.394,7.4,Vis.
2455784.466,7.4,Vis.
2455800.3243,7.4,Vis.
2455800.7014,7.4,Vis.
2455803.40486,7.4,Vis.
2455804.4389,7.4,Vis.
2455805.3958,7.4,Vis.
2455812.3931,7.4,Vis.
2455815.4806,7.4,Vis.
2455816.29097,7.4,Vis.
2455820.28889,7.4,Vis.
2455822.3,7.4,Vis.
2455822.46319,7.4,Vis.
2455824.6954,7.4,Vis.
2455825.3861,7.4,Vis.
2455826.3479,7.4,Vis.
2455828.31458,7.4,Vis.
2455831.4465,7.4,Vis.
2455836.26528,7.4,Vis.
2455997.26597,7.4,Vis.
2456003.6,7.4,Vis.
2456004.6076,7.4,Vis.
2456005.9,7.4,Vis.
2456006.6264,7.4,Vis.
2456008.4458,7.4,Vis.
2456010.6313,7.4,Vis.
2456014.6111,7.4,Vis.
2456158.48,7.4,Vis.
2456159.3,7.4,Vis.
2456160.45903,7.4,Vis.
2456167.1146,7.4,Vis.
2456169.3965,7.4,Vis.
2456174.3507,7.4,Vis.
2456177.3806,7.4,Vis.
2456178.39,7.4,Vis.
2456179.4654,7.4,Vis.
2456181.3632,7.4,Vis.
2456181.51,7.4,Vis.
2456182.28056,7.4,Vis.
2456196.548,7.4,Vis.
2456205.3,7.4,Vis.
2456205.35,7.4,Vis.
2456205.5,7.4,Vis.
2456206.25139,7.4,Vis.
2456206.32,7.4,Vis.
2456212.3,7.4,Vis.
2456212.34792,7.4,Vis.
2456356.65,7.4,Vis.
2456371.9,7.4,Vis.
2456372.663,7.4,Vis.
2456378.9,7.4,Vis.
2456536.55,7.4,Vis.
2456536.59,7.4,Vis.
2456539.6,7.4,Vis.
2456571.34,7.4,Vis.
2456579.3118,7.4,Vis.
2456584.5,7.4,Vis.
2456588.26111,7.4,Vis.
2456593.3,7.4,Vis.
2456597.3,7.4,Vis.
2456769.4,7.4,Vis.
2456928.38819,7.4,Vis.
2456930.60694,7.4,Vis.
2456931.34,7.4,Vis.
2456932.413,7.4,Vis.
2456932.5,7.4,Vis.
2456932.6,7.4,Vis.
2456935.3354,7.4,Vis.
2456940.6,7.4,Vis.
2456942.6,7.4,Vis.
2456953.35417,7.4,Vis.
2456954.29861,7.4,Vis.
2456955.2868,7.4,Vis.
2456958.2,7.4,Vis.
2457111.55,7.4,Vis.
2457113.64,7.4,Vis.
2457144.48264,7.4,Vis.
2457150.4,7.4,Vis.
2457155.7,7.4,Vis.
2457156.45,7.4,Vis.
2457317.3,7.4,Vis.
2457326.367,7.4,Vis.
2457327.2875,7.4,Vis.
2457328.3,7.4,Vis.
2457329.353,7.4,Vis.
2457329.5,7.4,Vis.
2457330.4125,7.4,Vis.
2457331.2,7.4,Vis.
2457337.31736,7.4,Vis.
2457339.2271,7.4,Vis.
2457342.258,7.4,Vis.
2457492.6146,7.4,Vis.
2457498.85,7.4,Vis.
2457501.646,7.4,Vis.
2457507.4514,7.4,Vis.
2457516.8667,7.4,Vis.
2457519.386,7.4,Vis.
2457523.397,7.4,Vis.
2457535.406,7.4,Vis.
2457677.27222,7.4,Vis.
2457679.35764,7.4,Vis.
2457706.41319,7.4,Vis.
2457713.2938,7.4,Vis.
2457718.3958,7.4,Vis.
2457720.28264,7.4,Vis.
2457722.22431,7.4,Vis.
2457722.24,7.4,Vis.
2457726.3,7.4,Vis.
2457727.242,7.4,Vis.
2457729.24,7.4,Vis.
2457900.3681,7.4,Vis.
2458065.2208,7.4,Vis.
2458075.3,7.4,Vis.
2458080.54375,7.4,Vis.
2458081.2042,7.4,Vis.
2458082.3,7.4,Vis.
2458095.23,7.4,Vis.
2458100.54931,7.4,Vis.
2458104.5,7.4,Vis.
2458113.2167,7.4,Vis.
2458458.29653,7.4,Vis.
2458468.53403,7.4,Vis.
2458479.5,7.4,Vis.
2458484.28,7.4,Vis.
2458486.1875,7.4,Vis.
2458665.37,7.4,Vis.
2458823.20764,7.4,Vis.
2455807.3604,7.45,Vis.
2456540.3317,7.48,Vis.
2455200.2252,7.5,Vis.
